link,name,adr,price
https://www.nehnutelnosti.sk/5278653/stylovy-2-izbovy-byt-s-terasou-a-vyhladom-na-hrad-v-oblubenom-projekte-pri-myte/,ŠTÝLOVÝ 2-IZBOVÝ BYT S TERASOU A VÝHĽADOM NA HRAD V OBĽÚBENOM PROJEKTE PRI MÝTE,"Račianska, Bratislava III - Nové Mesto, okres Bratislava",349 900 €
https://www.nehnutelnosti.sk/5053953/nesto-moderny-3-izbovy-byt-s-podlahovym-kurenim/,Nesto | Moderný 3-izbový byt s podlahovým kúrením.,"Pohraničiarska signálka, Bratislava V - Petržalka, okres Bratislava",279 750 €
https://www.nehnutelnosti.sk/5053794/nesto-moderny-4-izbovy-byt-s-podlahovym-kurenim/,Nesto | Moderný 4-izbový byt s podlahovým kúrením.,"Pohraničiarska signálka, Bratislava V - Petržalka, okres Bratislava",379 750 €
https://www.nehnutelnosti.sk/5218896/prijemne-rodinne-byvanie-v-4-izb-byte-v-podunajskych-biskupiciach/,Príjemné rodinné bývanie v 4 izb. byte v Podunajských Biskupiciach.,"Bodrocká, Bratislava II - Podunajské Biskupice, okres Bratislava",172 000 €
https://www.nehnutelnosti.sk/5260718/novy-plne-zariadeny-3-izbovy-apartman-magnolia-1/,Nový plne zariadený 3-izbový Apartman- Magnolia 1,"Hraničná, Bratislava II - Ružinov, okres Bratislava",239 900 €
https://www.nehnutelnosti.sk/5347064/stare-mesto-tehlovy-3izb-byt-vhodny-aj-na-podnikanie-ul-prazska/,"STARÉ MESTO - Tehlový 3izb. byt vhodný aj na podnikanie, ul. Pražská","Bratislava I - Staré Mesto, okres Bratislava",364 990 €
https://www.nehnutelnosti.sk/5333786/bory-kompaktny-1-5-izbovy-byt-v-standarde-ul-tomislava-p-kolakovica/,"BORY - KOMPAKTNÝ 1,5 IZBOVÝ BYT V ŠTANDARDE - ul. TOMISLAVA P. KOLAKOVIČA","Bratislava IV - Devínska Nová Ves, okres Bratislava",147 999 €
https://www.nehnutelnosti.sk/5288836/dispozicne-zaujimavy-3i-byt-v-dobrej-lokalite-karlovej-vsi/,Dispozične zaujímavý 3i byt v dobrej lokalite Karlovej Vsi,"Segnerova, Bratislava IV - Karlova Ves, okres Bratislava",175 000 €
https://www.nehnutelnosti.sk/5310425/prijemny-3i-byt-s-2-lodziami-na-majernikovej-ul/,Príjemný 3i byt s 2 lodžiami na Majerníkovej ul.,"Majerníkova, Bratislava IV - Karlova Ves, okres Bratislava",179 000 €
https://www.nehnutelnosti.sk/5330450/bory-novy-dvor-3izbovy-byt-s-velkou-zahradou/,BORY - Nový Dvor - 3izbový byt s veľkou záhradou,"Bratislava IV - Lamač, okres Bratislava",264 900 €
https://www.nehnutelnosti.sk/5333680/bory-kompaktny-1-5-izbovy-byt-v-standarde-ul-tomislava-p-kolakovica/,"BORY - KOMPAKTNÝ 1,5 IZBOVÝ BYT V ŠTANDARDE - ul. TOMISLAVA P. KOLAKOVIČA","Bratislava IV - Devínska Nová Ves, okres Bratislava",147 999 €
https://www.nehnutelnosti.sk/5336506/martincekova-ulica-rodinny-3i-byt/,Martinčekova ulica - rodinný 3i byt,"Bratislava II - Ružinov, okres Bratislava",196 000 €
https://www.nehnutelnosti.sk/5310462/top-ponuka-riznerova-ulica-2-izbovy-byt-s-vlastnym-dvorom-a-bezkonkurencnym-vyhladom-na-hrad-a-p/,TOP PONUKA - RIZNEROVA ulica  2-izbový byt s vlastným dvorom  a bezkonkurenčným výhľadom na Hrad a p,"Bratislava I - Staré Mesto, okres Bratislava",Cena dohodou
https://www.nehnutelnosti.sk/5332359/vyborne-rieseny-3izbovy-byt-s-loggiou-v-srdci-race-na-plickovej-ul/,"VÝBORNE RIEŠENÝ 3izbový BYT s LOGGIOU,  V SRDCI RAČE na PLICKOVEJ ul.","Bratislava III - Rača, okres Bratislava",159 990 €
https://www.nehnutelnosti.sk/5159895/koliba-bezchybny-3izbovy-byt-s-terasou-v-projekte-belaria/,KOLIBA - BEZCHYBNÝ 3IZBOVÝ BYT S TERASOU V PROJEKTE BELARIA,"Svätovavrinecká, Bratislava III - Nové Mesto, okres Bratislava",314 900 €
https://www.nehnutelnosti.sk/5014959/3-izbovy-novostavba-ruzinov-vo-vystavbe/,"3 izbový, novostavba, Ružinov VO VÝSTAVBE","Ružová dolina 33, Bratislava II - Ružinov, okres Bratislava",329 000 €
https://www.nehnutelnosti.sk/5330142/penthousovy-3-izbovy-byt-v-starom-meste/,Penthousový 3 izbový byt v Starom meste,"Ľadová, Bratislava I - Staré Mesto, okres Bratislava",569 000 €
https://www.nehnutelnosti.sk/5330138/ponukame-vam-2-izbovu-jednotku-s-predzahradkou/,Ponúkame Vám 2 izbovú jednotku s predzáhradkou,"Ľadová, Bratislava I - Staré Mesto, okres Bratislava",249 000 €
https://www.nehnutelnosti.sk/5331670/kompletne-zrekonstruovany-a-zariadeny-2-izbovy-byt-s-balkonom-vo-vyhladavanej-lokalite/,Kompletne zrekonštruovaný a zariadený 2 izbový byt s balkónom vo vyhľadávanej lokalite,"Sibírska, Bratislava III - Nové Mesto, okres Bratislava",229 900 €
https://www.nehnutelnosti.sk/5339666/ciastocne-zrekonstruovany-2-izbovy-byt-s-loggiou-vo-vyhladavanej-lokalite/,Čiastočne zrekonštruovaný 2 izbový byt s loggiou vo vyhľadávanej lokalite,"Šalviová, Bratislava II - Ružinov, okres Bratislava",160 000 €
https://www.nehnutelnosti.sk/5345700/slnecny-zariadeny-2-izbovy-byt-v-tehlovom-dome-s-loggiou-vo-vyhladavanej-lokalite-blizko-centra/,"Slnečný, zariadený 2 izbový byt v tehlovom dome s loggiou vo vyhľadávanej lokalite blízko centra","Mraziarenská, Bratislava II - Ružinov, okres Bratislava",198 000 €
https://www.nehnutelnosti.sk/5345655/ciastocne-zrekonstruovany-1-izbovy-byt-v-prijemnej-casti-podunajskych-biskupic/,Čiastočne zrekonštruovaný 1 izbový byt v príjemnej časti Podunajských Biskupíc,"Bodrocká, Bratislava II - Podunajské Biskupice, okres Bratislava",108 000 €
https://www.nehnutelnosti.sk/5345664/zrekonstruovany-3-izbovy-byt-s-loggiou-vo-vyhladavanej-lokalite-na-zaciatku-petrzalky/,Zrekonštruovaný 3 izbový byt s loggiou vo vyhľadávanej lokalite na začiatku Petržalky,"Mlynarovičova, Bratislava V - Petržalka, okres Bratislava",193 000 €
https://www.nehnutelnosti.sk/5345665/ciastocne-zrekonstruovana-garsonka-s-loggiou-vo-vybornej-lokalite/,Čiastočne zrekonštruovaná garsónka s loggiou vo výbornej lokalite,"Ľ. Fullu, Bratislava IV - Karlova Ves, okres Bratislava",99 000 €
https://www.nehnutelnosti.sk/5345634/kompletne-zrekonstruovany-a-zariadeny-1-izbovy-byt-v-prijemnej-lokalite/,Kompletne zrekonštruovaný a zariadený 1 izbový byt v príjemnej lokalite,"Bieloruská, Bratislava II - Podunajské Biskupice, okres Bratislava",108 000 €
https://www.nehnutelnosti.sk/5347200/moderny-2-izbovy-byt-na-predaj/,Moderný 2-izbový byt na predaj,"Mlynské nivy, Bratislava II - Ružinov, okres Bratislava",200 000 €
https://www.nehnutelnosti.sk/5319521/komplet-rekonstrukciatop-vyhladkuchynska-linka/,KOMPLET REKONŠTRUKCIA*TOP VÝHĽAD*KUCHYNSKÁ LINKA,"Znievska, Bratislava V - Petržalka, okres Bratislava",146 800 €
https://www.nehnutelnosti.sk/5347301/vynimocny-2-izbovy-byt-vo-vysokom-standarde-s-garazovym-parkovanim-koliba-belaria-ihned-volny/,Výnimočný 2-izbový byt vo vysokom štandarde s garážovým parkovaním | Koliba BELARIA | IHNEĎ VOĽNÝ,"Svätovavrinecká, Bratislava III - Nové Mesto, okres Bratislava",285 000 €
https://www.nehnutelnosti.sk/4976645/byty-rinok-raca-predaj/,BYTY Rínok Rača | predaj,"Kubačova, Bratislava III - Rača, okres Bratislava",198 280 €
https://www.nehnutelnosti.sk/5345440/predaj-velky-3-izb-byt-cajakova-bratislava-stare-mesto/,"PREDAJ veľký 3-izb. byt ČAJAKOVA, Bratislava-Staré Mesto","Čajakova, Bratislava I - Staré Mesto, okres Bratislava",397 800 €
https://www.nehnutelnosti.sk/5276194/nestor-capital-priestranny-jedinecny-3-izbovy-byt-v-novom-meste-s-prekrasnym-vyhladom/,Nestor Capital-Priestranný jedinečný 3-izbový byt v Novom Meste s prekrásnym výhľadom,"Priečna, Bratislava III - Nové Mesto, okres Bratislava",279 000 €
https://www.nehnutelnosti.sk/5330440/luxusny-velkometrazny-4-izbovy-byt-s-dvomi-terasami-v-horskom-parku-mestske-vily-hrinovska/,Luxusný veľkometrážny 4 izbový byt s dvomi terasami v Horskom parku - Mestské vily Hriňovská,"Hriňovská, Bratislava I - Staré Mesto, okres Bratislava",1 100 000 €
