link,name,adr,price
https://www.reality.sk//byty/priestranny-2-izbovy-byt-s-parkovacim-v-statim-tupeho/Jui2DDe5LEn/,Priestranný 2 izbový byt s parkovacím v státím - TUPÉHO, Bratislava-Nové Mesto ,
https://www.reality.sk//byty/dizajnovy-3-izbovy-byt-s-lodziou-a-parkovanim-bajkalska/JuiZtbZCv8t/,Dizajnový 3 izbový byt s lodžiou a parkovaním - BAJKALSKÁ, Bratislava-Nové Mesto ,
https://www.reality.sk//byty/unikatny-byt-v-centre-pri-parku-3-izb-107m2-terasa-garazove-statie/JuXPQp05KDT/,"Unikátny byt v centre pri parku, 3-izb, 107m2, terasa, garážové státie", Bratislava-Staré Mesto  Dunajská,
https://www.reality.sk//byty/novostavba-toskana-vrakuna-dvojdomy-juzanskeho-typu-typ-domu-6-ba-ii-vrakuna-magnoliova/JuTpTJbsV6UF/,"NOVOSTAVBA - TOSKANA VRAKUŇA, DVOJDOMY JUŽANSKÉHO TYPU- TYP DOMU 6, BA II. Vrakuňa, Magnóliová", Bratislava-Ružinov  Magnóliová,349 000 
https://www.reality.sk//byty/stare-mesto-tehlovy-3izb-byt-vhodny-aj-na-podnikanie-ul-prazska/Jug57GRoZi-/,"STARÉ MESTO - Tehlový 3izb. byt vhodný aj na podnikanie, ul. Pražská", Bratislava-Staré Mesto ,364 990 
https://www.reality.sk//byty/renatas-1-5-izbovy-byt-nie-apartman-pristavna-plynarenska/JubC6gFaWdh/,"RENATAS - 1,5 IZBOVÝ BYT /NIE APARTMÁN/ PRÍSTAVNÁ - PLYNÁRENSKÁ", Bratislava-Ružinov  Prístavná,215 000 
https://www.reality.sk//byty/herrys-na-predaj-2-izbovy-zrekonstruovany-byt-s-pivnicou-v-starom-meste/JuGKiUSMUNR/,Herrys - Na predaj 2 izbový zrekonštruovaný byt s pivnicou v Starom Meste, Bratislava-Staré Mesto  Belopotockého,215 000 
https://www.reality.sk//byty/herrys-na-predaj-3-izbovy-byt-v-povodnom-stave-vo-vybornej-lokalite-v-ruzinove/Jue5Zx8rQ-c/,HERRYS - Na predaj 3-izbový byt v pôvodnom stave vo výbornej lokalite v Ružinove, Bratislava-Ružinov  Sputniková,210 000 
https://www.reality.sk//byty/herrys-na-predaj-uplne-novy-slnecny-3-izbovy-apartman-v-novostavbe-ceresne-parking/JuhgkT7K9MV/,"HERRYS - Na predaj úplne nový slnečný 3 izbový apartmán v novostavbe Čerešne, parking", Bratislava-Dúbravka  Polianky,329 000 
https://www.reality.sk//byty/herrys-na-predaj-svetly-4-izbovy-byt-s-terasou-v-projekte-novy-ruzinov-bratislava-ruzinov/JuH2ZMUMS70/,"HERRYS - Na predaj svetlý 4-izbový byt s terasou v projekte Nový Ružinov, Bratislava – Ružinov", Bratislava-Ružinov  Na výslní,412 500 
https://www.reality.sk//byty/herrys-na-predaj-kompletne-zrekonstruovany-3-izbovy-byt-s-vytahom-v-tehlovom-dome/JuUU-Dt5UTd/,HERRYS - Na predaj kompletne zrekonštruovaný 3-izbový byt s výťahom v tehlovom dome, Bratislava-Staré Mesto  Blumentálska,310 000 
https://www.reality.sk//byty/herrys-na-predaj-slnecny-3-izbovy-byt-s-loggiou-na-ipelskej-ulici-3d-obhliadka/JuOEuO4oj9v/,"HERRYS - Na predaj slnečný 3 izbový byt s loggiou na Ipeľskej ulici, 3D obhliadka", Bratislava-Podunajské Biskupice  Ipeľská,159 000 
https://www.reality.sk//byty/herrys-na-predaj-kompletne-zrekonstruovany-3-izbovy-byt-s-krasnym-vyhladom-na-dubravske-lesy/JuhwvXtXTZu/,HERRYS - Na predaj kompletne zrekonštruovaný 3-izbový byt s krásnym výhľadom na dúbravské lesy, Bratislava-Dúbravka  Karola Adlera,189 900 
https://www.reality.sk//byty/herrys-na-predaj-velkometrazny-2-izbovy-byt-so-samostatnou-kuchynou-na-palisadach-stetinova-ulica/JuemCsrI9kc/,"HERRYS- Na predaj veľkometrážny 2-izbový byt so samostatnou kuchyňou na Palisádach, Štetinová ulica", Bratislava-Staré Mesto  Štetinova,279 900 
https://www.reality.sk//byty/herrys-na-predaj-ciastocne-zrekonstruovany-3-izbovy-byt-s-moznostou-prerabky-na-4-izbovy-byt/Ju_FU2ICqEm/,HERRYS - Na predaj čiastočne zrekonštruovaný 3-izbový byt s možnosťou prerábky na 4-izbový byt, Bratislava-Vrakuňa  Kríková,174 990 
https://www.reality.sk//byty/herrys-na-predaj-vynimocny-3-izbovy-byt-vo-vynimocnej-lokalite-pod-bratislavskym-hradom/JubllC6dKdl/,HERRYS - Na predaj výnimočný 3-izbový byt vo výnimočnej lokalite pod Bratislavským hradom, Bratislava-Staré Mesto  Palisády,499 000 
https://www.reality.sk//byty/herrys-na-predaj-2-izbovy-byt-s-balkonom-v-nedavno-skolaudovanej-novostavbe-ceresne/Ju6I9-aZKoF/,HERRYS - Na predaj 2 izbový byt s balkónom v nedávno skolaudovanej novostavbe Čerešne, Bratislava-Dúbravka  Polianky,175 000 
https://www.reality.sk//byty/herrys-na-predaj-uplne-novy-4-izbovy-byt-s-dvoma-kupelnami-v-novostavbe-ceresne-parking/JuwjO-BybEZ/,"HERRYS - Na predaj úplne nový 4 izbový byt s dvoma kúpeľňami v novostavbe Čerešne, parking", Bratislava-Dúbravka  Polianky,379 000 
https://www.reality.sk//byty/herrys-na-predaj-slnecny-2-izbovy-byt-vo-vynikajucej-lokalite-v-novej-dobe-pri-vivo-poluse/JuExRJMbJEX/,HERRYS - Na predaj slnečný 2 izbový byt vo vynikajúcej lokalite v Novej Dobe pri Vivo (Poluse), Bratislava-Nové Mesto  Vajnorská,159 000 
https://www.reality.sk//byty/herrys-na-predaj-3-izbovy-byt-v-projekte-gastanova-rezidencia-horsky-park/Juel0h4-TFF/,HERRYS - Na predaj 3-izbový byt v projekte Gaštanová/Rezidencia Horský park, Bratislava-Staré Mesto  Gaštanová,380 000 
https://www.reality.sk//byty/herrys-na-predaj-3-izbovy-byt-v-dubravke/JuqhagPk-Yo/,HERRYS - na predaj 3 izbový byt v Dúbravke, Bratislava-Dúbravka  Dúbravčická,210 000 
https://www.reality.sk//byty/herrys-na-predaj-3-izbovy-byt-s-velkorysou-vymerou-a-vlastnou-garazou-v-ruzinove-teslova-ulica/JuPfqXJnzqW/,HERRYS - Na predaj 3-izbový byt s veľkorysou výmerou a vlastnou garážou v Ružinove - Teslova ulica, Bratislava-Ružinov  Teslova,250 000 
https://www.reality.sk//byty/herrys-na-predaj-2-izbovy-byt-s-peknym-vyhladom-v-devinskej-novej-vsi/JucR3bF8boH/,HERRYS - Na predaj 2-izbový byt s pekným výhľadom v Devínskej Novej Vsi, Bratislava-Devínska Nová Ves  Eisnerova,190 000 
https://www.reality.sk//byty/herrys-na-predaj-klimatizovany-3-izbovy-byt-v-novostavbe-novy-ruzinov/Ju0ruoud7TG/,HERRYS – Na predaj klimatizovaný 3 izbový byt v novostavbe Nový Ružinov, Bratislava-Ružinov  Bajkalská,235 000 
https://www.reality.sk//byty/moruse-skolaudovane-v-ponuke-2i-byt-za-bezkonkurencnu-cenu/Ju_ni4I78vpD/,Moruše  SKOLAUDOVANÉ- v ponuke 2i byt za bezkonkurenčnú cenu!, Bratislava-Ružinov  Ivanska cesta,159 900 
