link,name,adr,price
https://www.nehnutelnosti.sk/4631720/1-izbovy-byt-na-predaj-v-slnecniciach/,1-Izbový byt na predaj v Slnečniciach,"Zuzany Chalupovej, Bratislava V - Petržalka, okres Bratislava",122 000 €
https://www.nehnutelnosti.sk/5339246/3-izbovy-byt-po-komplet-rekonstrukcii-na-predaj/,3-Izbový byt po komplet rekonštrukcii na predaj,"Krásnohorská, Bratislava V - Petržalka, okres Bratislava",177 000 €
https://www.nehnutelnosti.sk/5291559/3-izbovy-byt-pripraveny-na-nastahovanie-v-petrzalke/,3-Izbový byt pripravený na nasťahovanie v Petržalke,"Budatínska, Bratislava V - Petržalka, okres Bratislava",162 000 €
https://www.nehnutelnosti.sk/5224663/prijemny-3-izbacik-v-super-lokalite-po-rekonstrukcii/,Príjemný 3-Izbáčik v super lokalite po rekonštrukcii,"Jasovská, Bratislava V - Petržalka, okres Bratislava",171 999 €
https://www.nehnutelnosti.sk/5131880/1-izbovy-byt-na-predaj-za-super-cenu/,1-Izbový byt na predaj za Super cenu,"Hronská, Bratislava II - Podunajské Biskupice, okres Bratislava",94 999 €
https://www.nehnutelnosti.sk/4816074/predaj-1-izb-bytu-v-novom-meste/,Predaj 1 izb. bytu v Novom Meste,"Račianska, Bratislava III - Nové Mesto, okres Bratislava",115 000 €
https://www.nehnutelnosti.sk/5020360/predaj-3-izbovy-byt-vrakuna/,PREDAJ - 3 izbový byt Vrakuňa,"Kríková, Bratislava II - Vrakuňa, okres Bratislava",137 000 €
https://www.nehnutelnosti.sk/5126857/3-nepriechodne-izby-samostatna-kuchyna-2x-wc-idealny-ako-investicia-na-airbnb/,"3 nepriechodné izby, samostatná kuchyňa, 2x wc, ideálny ako INVESTÍCIA na AIRBNB","Krížna 20, Bratislava I - Staré Mesto, okres Bratislava",282 000 €
https://www.nehnutelnosti.sk/5315226/rezervovany-2-izb-byt-herlianska-ul-strkovec/,"Rezervovaný / 2-izb. byt, Herlianska ul., Štrkovec","Herlianska 130/16, Bratislava II - Ružinov, okres Bratislava",194 000 €
https://www.nehnutelnosti.sk/5319521/komplet-rekonstrukciatop-vyhladkuchynska-linka/,KOMPLET REKONŠTRUKCIA*TOP VÝHĽAD*KUCHYNSKÁ LINKA,"Znievska, Bratislava V - Petržalka, okres Bratislava",146 800 €
https://www.nehnutelnosti.sk/5311040/occam-slnecny-2-izbovy-byt-v-ocenovanom-projekte-rezidencie-pri-myte/,OCCAM | Slnečný 2-izbový byt v oceňovanom projekte Rezidencie Pri Mýte,"Račianska, Bratislava III - Nové Mesto, okres Bratislava",244 900 €
https://www.nehnutelnosti.sk/5217425/vyborne-dispozicne-rieseny-3-izbovy-byt-s-loggiou-a-krasnym-vyhladom-na-karpaty/,Výborne dispozične riešený 3 izbový byt s loggiou a krásnym výhľadom na Karpaty,"Úžiny, Bratislava III - Rača, okres Bratislava",189 900 €
https://www.nehnutelnosti.sk/5340209/novostavba-garsonka-s-moznostou-garazoveho-statia-na-predaj-ul-antolska-petrzalka/,"NOVOSTAVBA - Garsónka s možnosťou garážového státia na predaj ul. Antolská, Petržalka","Antolská, Bratislava V - Petržalka, okres Bratislava",99 900 €
https://www.nehnutelnosti.sk/5195535/kupou-2i-byt-v-dubravke-ziskate-aj-atraktivny-zeleny-park-plny-zabavy/,Kúpou 2i byt v Dúbravke získate aj atraktívny zelený park plný zábavy,"Pekníkova, Bratislava IV - Dúbravka, okres Bratislava",1 €
https://www.nehnutelnosti.sk/5309822/tichy-byt-v-novostavbe-na-zaciatku-dubravky/,Tichý byt v novostavbe na začiatku Dúbravky,"Bratislava IV - Dúbravka, okres Bratislava",232 000 €
https://www.nehnutelnosti.sk/5340128/prijemny-3-izb-byt-so-zariadenim-rajecka-ul-pri-pesej-zone-vo-vrakuni/,"PRÍJEMNÝ 3-IZB.BYT SO ZARIADENÍM, RAJECKÁ UL., PRI PEŠEJ ZÓNE VO VRAKUNI","Rajecká, Bratislava II - Vrakuňa, okres Bratislava",159 000 €
https://www.nehnutelnosti.sk/5340127/vyhodny-investicny-byt-nizke-mesacne-naklady-vyborna-lokalita-ruzinov-nivy/,"VÝHODNÝ INVESTIČNÝ BYT, NÍZKE MESAČNÉ NÁKLADY, VÝBORNÁ LOKALITA-RUŽINOV, NIVY","Martinčekova, Bratislava II - Ružinov, okres Bratislava",85 000 €
https://www.nehnutelnosti.sk/5339053/predaj-3-izb-exkluzivneho-bytu-s-2-velkymi-loggiami-a-2-kupelnami-parkovanim-v-blizkosti-kuchajdy/,"PREDAJ 3-IZB. EXKLUZÍVNEHO BYTU S 2 VEĽKÝMI LOGGIAMI A 2 KÚPEĽŇAMI, PARKOVANÍM V BLÍZKOSTI KUCHAJDY,","Vajnorská, Bratislava III - Nové Mesto, okres Bratislava",280 000 €
https://www.nehnutelnosti.sk/5339050/predaj-utulneho-2-izb-bytu-s-vlastnym-kurenim-v-tichom-prostredi-plnom-zelene-budysinska-ul/,"PREDAJ ÚTULNÉHO 2-IZB. BYTU S VLASTNÝM KÚRENÍM V TICHOM PROSTREDÍ PLNOM ZELENE, BUDYŠÍNSKA UL.","Budyšínska, Bratislava III - Nové Mesto, okres Bratislava",159 000 €
https://www.nehnutelnosti.sk/5339054/nadherny-2-izb-zariadeny-byt-s-loggiou-a-parkovanim-v-lukrativnej-novostavbe-karloveske-rameno/,NÁDHERNÝ 2-izb. ZARIADENÝ BYT S LOGGIOU A PARKOVANÍM V LUKRATÍVNEJ NOVOSTAVBE KARLOVESKÉ RAMENO,"Karloveské rameno, Bratislava IV - Karlova Ves, okres Bratislava",299 000 €
https://www.nehnutelnosti.sk/5331787/slnecny-byt-po-kompletnej-rekonstrukcii/,Slnečný byt po kompletnej rekonštrukcii,"Kadnárová, Bratislava III - Rača, okres Bratislava",249 000 €
https://www.nehnutelnosti.sk/5317883/tichy-2-izb-byt-v-novostavbe-pri-racianskom-myte/,Tichý 2 izb. byt v novostavbe pri Račianskom Mýte,"Račianska, Bratislava III - Nové Mesto, okres Bratislava",229 000 €
https://www.nehnutelnosti.sk/5331789/byt-po-kompletnej-rekonstrukcii-v-centre-race/,Byt po kompletnej rekonštrukcii v centre Rače,"Gelnická, Bratislava III - Rača, okres Bratislava",219 000 €
https://www.nehnutelnosti.sk/5164648/3i-byt-s-balkonom-po-kompletnej-rekonstrukcii-z-r-2023-narcisova-ul/,"3i byt s balkónom, po kompletnej rekonštrukcii z r. 2023, Narcisová ul","Narcisová, Bratislava II - Ružinov, okres Bratislava",205 000 €
https://www.nehnutelnosti.sk/5158280/slnecny-3i-byt-2x-loggia-po-ciastocnej-rekonstrukcii-z-r-2018/,"Slnečný 3i byt, 2x loggia, po čiastočnej rekonštrukcii z r. 2018","Jasovská, Bratislava V - Petržalka, okres Bratislava",179 000 €
https://www.nehnutelnosti.sk/5273035/4-izbovy-byt-s-vysokymi-stropmi-a-velkou-terasou-v-blizkosti-moderneho-centra-a-dunaja/,4-IZBOVÝ BYT S VYSOKÝMI STROPMI A VEĽKOU TERASOU V BLÍZKOSTI MODERNÉHO CENTRA A DUNAJA,"Prístavná, Bratislava II - Ružinov, okres Bratislava",770 000 €
