link,title,adr,price,price_for_m2,total_area
https://www.nehnutelnosti.sk/5356793/kompletne-zrekonstruovany-2-izb-byt-zavodna-ulica-podunajske-biskupice/,"KOMPLETNE ZREKONŠTRUOVANÝ 2 IZB. BYT - ZÁVODNÁ ULICA,PODUNAJSKÉ BISKUPICE",závodnápodunajskébiskupice,110000.0,3138.37,35
https://www.nehnutelnosti.sk/5372784/na-predaj-jedinecny-3-izbovy-byt-ruzinov-ul-komarnicka/,NA PREDAJ JEDINEČNÝ 3 IZBOVÝ BYT - RUŽINOV ul.KOMÁRNICKÁ,komárnickáružinov,215000.0,3307.69,65
https://www.nehnutelnosti.sk/5310611/utulny-byt-v-ruzinove-na-komarnickej-ulici-62-m-lodzia-balkon-kompletna-rekonstrukcia/,Útulný byt v Ružinove na Komárnickej ulici | 62 m² | Lodžia | Balkón | Kompletná rekonštrukcia,komárnickáružinov,237990.0,3838.55,62
https://www.nehnutelnosti.sk/4986220/predaj-1-izbovy-apartman-s-balkonom-32-m2-bratislava-dubravka-novostavba-ceresne-fine-living/,"Predaj 1-izbový apartmán s balkónom, 32 m2, Bratislava - Dúbravka, novostavba Čerešne Fine Living",poliankydúbravka,152938.0,4779.31,32
https://www.nehnutelnosti.sk/4982266/predaj-2-izbovy-apartman-s-balkonom-50-m2-bratislava-dubravka-novostavba-ceresne-fine-living/,"Predaj 2-izbový apartmán s balkónom, 50 m2, Bratislava - Dúbravka, novostavba Čerešne Fine Living",poliankydúbravka,229350.0,4587.0,50
https://www.nehnutelnosti.sk/4884158/predaj-4-izbovy-apartman-s-terasou-100m2-bratislava-dubravka-novostavba-ceresne-fine-living/,"Predaj 4-izbový apartmán s terasou, 100m2, Bratislava - Dúbravka, novostavba Čerešne Fine Living",poliankydúbravka,376867.0,3768.67,100
https://www.nehnutelnosti.sk/5261129/babony-tre-priestranny-stvorizbovy-byt-v-tichej-lokalite/,Babony TRE | Priestranný štvorizbový byt v tichej lokalite,rajčianskavrakuňa,174000.0,2351.35,74
https://www.nehnutelnosti.sk/5270617/exkluzivne-2-iz-byt-s-garazovym-statim-na-ul-nejedleho-dubravka/,"EXKLUZÍVNE - 2 iz. byt s garážovým státím na ul. Nejedlého, Dúbravka",nejedléhodúbravka,159000.0,3785.71,42
https://www.nehnutelnosti.sk/5316128/babony-tre-trojizbovy-byt-s-nezamenitelnou-atmosferou/,Babony TRE | Trojizbový byt s nezameniteľnou atmosférou,uhliskávajnory,229000.0,3271.43,70
https://www.nehnutelnosti.sk/5345388/2-izb-byt-moldavska-ul-3-3-posch-balkon/,"2 izb. byt Moldavská ul., 3/3 posch., balkón",moldavskáružinov,165000.0,3113.21,53
https://www.nehnutelnosti.sk/5360445/unikatny-sestizbovy-byt-pri-centre-bratislavy-s-krasnym-vyhladom-na-panoramu-mesta/,Unikátny šesťizbový byt pri centre Bratislavy s krásnym výhľadom na panorámu mesta,krasovskéhopetržalka,1150000.0,4581.67,251
https://www.nehnutelnosti.sk/5325736/dvojizbovy-bezbarierovy-byt-na-predaj-v-ruzinove/,Dvojizbový bezbariérový byt na predaj v Ružinove,vlčiehrdloružinov,125000.0,2976.19,42
https://www.nehnutelnosti.sk/5380830/predaj-3-izb-byt-78m2-dolezalova-ulica-bratislava-trnavka/,"PREDAJ, 3-IZB. BYT, 78M2, DOLEŽALOVA ULICA, BRATISLAVA-TRNÁVKA.",doležalovaružinov,225000.0,2884.62,78
https://www.nehnutelnosti.sk/5384308/comfort-living-ponuka-rezervovane-prijemny-2-izbovy-byt-v-tehlovom-dome-pri-horskom-parku/,COMFORT LIVING ponúka - REZERVOVANÉ Príjemný 2 izbový byt v TEHLOVOM dome pri HORSKOM PARKU,martinengovastarémesto,162440.0,4061.0,40
https://www.nehnutelnosti.sk/5236275/nova-cena-zlava-15-000-ba-petrzalka-sustekova-ul-krasny-novo-zrekonstruovany-3i-byt-s-no/,"NOVÁ CENA: ZĽAVA 15.000€ - BA Petržalka - Šustekova ul. - krásny, novo - zrekonštruovaný 3i byt s no",šustekovapetržalka,234990.0,2937.38,80
https://www.nehnutelnosti.sk/5227350/ba-v-topolcianska-kompletne-zrekonstruovany-3i-byt-s-kuchynou-a-klimatizaciou-86-m2-2x-loggia/,"BA V - Topoľčianska, kompletne zrekonštruovaný 3i byt s kuchyňou a klimatizáciou, 86 m2, 2x loggia",topoľčianskapetržalka,229990.0,2674.3,86
https://www.nehnutelnosti.sk/5349715/dvojgarsonka-s-panoramatickym-vyhladom/,Dvojgarsónka s panoramatickým výhľadom,beňadickápetržalka,136000.0,3661.82,37
https://www.nehnutelnosti.sk/5370791/nuppu-zariadeny-2-izbovy-byt-v-novostavbe/,NUPPU - zariadený 2-izbový byt v novostavbe,hraničnáružinov,245000.0,4260.87,58
https://www.nehnutelnosti.sk/5235901/slnecnice-uniq-2-izb-byt-predzahradka-klima-ext-zaluzie-gar-statie-murovana-kobka/,"Slnečnice, UNIQ 2 izb. byt, predzáhradka, klíma, ext. žalúzie, gar. státie, murovaná kobka",fialovápetržalka,215833.0,2555.75,84
https://www.nehnutelnosti.sk/4671822/2-izb-byt-v-novostavbe-proxenta-residence-ul-mytna-bratislava-i/,"2 IZB BYT v NOVOSTAVBE PROXENTA RESIDENCE, ul. MÝTNA, BRATISLAVA I",mýtnastarémesto,224000.0,4226.42,53
https://www.nehnutelnosti.sk/5360548/utulny-3-i-byt-s-peknym-vyhladom-devinska-nova-ves/,ÚTULNÝ 3 i BYT S PEKNÝM VÝHĽADOM DEVÍNSKA NOVÁ VES,jánajonášadevínskanováves,173000.0,2688.42,64
https://www.nehnutelnosti.sk/5102393/na-predaj-uplne-novy-3-izbovy-byt-s-balkonom-v-novostavbe-galvanihome/,Na predaj úplne nový 3 izbový byt s balkónom v novostavbe GalvaniHome,galvanihoružinov,209000.0,3028.99,69
https://www.nehnutelnosti.sk/5384737/tichy-2-izb-byt-na-predaj-47m2-petrzalka-manesovo-nam-top-lokalita/,Tichý 2-izb. byt na predaj - 47m2 - Petržalka - Mánesovo nám. - top lokalita,mánesovonámestiepetržalka,154990.0,3297.66,47
