adr,count
hraničnáružinov,119
záhorskábystrica,85
ružinov,82
petržalka,62
starémesto,53
kopčianskapetržalka,49
gunduličovastarémesto,47
trnavskácestaružinov,44
novémesto,44
mlynskénivyružinov,43
bajkalskáružinov,39
vrakuňa,35
ivanskácestaružinov,35
prístavná1ružinov,34
prístavnáružinov,33
račianskanovémesto,30
námestie1.májastarémesto,30
ulicasvornostipodunajskébiskupice,28
fialovápetržalka,28
dúbravka,26
znievskapetržalka,25
devínskanováves,24
vajnorskánovémesto,24
rybničnávajnory,23
rača,23
kazanskápodunajskébiskupice,21
svätoplukovaružinov,21
šustekovapetržalka,19
palisádystarémesto,18
nejedléhodúbravka,17
karlovaves,17
mýtnastarémesto,17
topoľčianskapetržalka,16
romanovapetržalka,16
budatínskapetržalka,16
svrčiakarlovaves,16
pribinovastarémesto,16
stavbárskavrakuňa,16
drobnéhodúbravka,15
vlčiehrdloružinov,15
kadnárovarača,15
povrazníckastarémesto,15
mierováružinov,15
tomášikovanovémesto,15
martinčekovaružinov,15
drotárskacestastarémesto,15
beňadickápetržalka,14
privápenickompotokuzáhorskábystrica,14
martinagrancadúbravka,14
podunajskébiskupice,14
námestiehraničiarovpetržalka,14
bajkalskánovémesto,14
ľudovítafullukarlovaves,13
poliankydúbravka,13
rezedováružinov,13
opletalovadevínskanováves,13
vlčkovastarémesto,13
turbínovánovémesto,13
hanulovadúbravka,13
zuzanychalupovejpetržalka,13
úderníckapetržalka,13
holíčskapetržalka,13
prístavnástarémesto,12
haburskáružinov,12
hrachováružinov,12
tupéhonovémesto,12
ondavskáružinov,12
andrejamrázaružinov,12
podzáhradnápodunajskébiskupice,12
riazanskánovémesto,12
podunajskápodunajskébiskupice,12
tranovskéhodúbravka,12
dunajskástarémesto,12
jégéhoružinov,12
tomášikovaružinov,12
šancovástarémesto,12
solivarskáružinov,11
studenohorskálamač,11
sklabinskárača,11
gessayovapetržalka,11
jantárovájarovce,11
mickiewiczovastarémesto,11
osuskéhopetržalka,11
adámihokarlovaves,11
partizánskastarémesto,11
slávičieúdoliestarémesto,10
kaštieľskaružinov,10
československýchparašutistovnovémesto,10
komárnickáružinov,10
žilinskástarémesto,10
závodnápodunajskébiskupice,10
medenástarémesto,10
sibírskanovémesto,10
jasovskápetržalka,10
rožňavskánovémesto,10
rajeckávrakuňa,10
kresánkovakarlovaves,10
exnárovaružinov,10
žltápetržalka,10
obchodnástarémesto,10
rustavelihorača,10
šalviováružinov,10
nobelovanovémesto,10
záhradníckaružinov,9
bazovskéhodúbravka,9
naštyridsiatkustarémesto,9
agátovádúbravka,9
fedákovadúbravka,9
píniovávrakuňa,9
galvanihoružinov,9
starégruntykarlovaves,9
okánikovastarémesto,9
krásnohorskápetržalka,9
strečnianskapetržalka,9
bieloruskápodunajskébiskupice,9
nemčíkovadúbravka,9
mudroňovastarémesto,9
púpavovákarlovaves,9
hradskávrakuňa,9
kríkovávrakuňa,9
teslovaružinov,9
medveďovejpetržalka,9
českánovémesto,8
zadunajskácestapetržalka,8
homolovadúbravka,8
krížnastarémesto,8
rumančekováružinov,8
jurigovonámestiekarlovaves,8
podpriehradnávrakuňa,8
