link,name,adr,price,price_for_m2,total_area
https://www.nehnutelnosti.sk/5342015/ponukame-vam-na-predaj-1-izbovy-byt-s-velkou-loggiou-v-jednej-z-najkrajsich-lokalit-m-c-dubravka/,"Ponúkame Vám, na predaj 1-izbový  byt s veľkou LOGGIOU v  jednej z najkrajších lokalít m.č. Dúbravka","Sokolíkova, Bratislava IV - Dúbravka, okres Bratislava",109 900 €,"2 817,95 €/m²",39 m²
https://www.nehnutelnosti.sk/5332564/arvin-benet-pripravuje-4i-byt-za-vybornu-cenu/,Arvin & Benet PRIPRAVUJE | 4i byt za výbornú cenu,"Brančská, Bratislava V - Petržalka, okres Bratislava",210 000 €,"2 427,75 €/m²","86,5 m²"
https://www.nehnutelnosti.sk/5166616/bratislava-na-dlani-v-4-izbovom-velkometraznom-byte-v-novostavbe-einpark/,BRATISLAVA NA DLANI V 4-IZBOVOM VEĽKOMETRÁŽNOM BYTE V NOVOSTAVBE EINPARK,"Einsteinova, Bratislava V - Petržalka, okres Bratislava",925 000 €,"4 185,52 €/m²",221 m²
https://www.nehnutelnosti.sk/5332572/arvin-benet-vyborna-investicia-krasny-zariadeny-byt-v-nadstavbe/,"Arvin & Benet | Výborná investícia - krásny, zariadený byt v nadstavbe","Banšelova 24, Bratislava II - Ružinov, okres Bratislava",109 000 €,"3 633,33 €/m²",30 m²
https://www.nehnutelnosti.sk/5333337/zariadeny-1-izbovy-byt-blizko-parku-ostredky-v-ruzinove/,Zariadený 1 izbový byt blízko parku Ostredky v Ružinove,"Vrakunská cesta 6, Bratislava II - Ružinov, okres Bratislava",124 900 €,"3 965,08 €/m²","31,5 m²"
https://www.nehnutelnosti.sk/5277611/kompletne-zrekonstruovany-2-izbovy-byt-v-tehlovom-bytovom-dome-v-ruzinove/,Kompletne zrekonštruovaný 2 izbový byt v tehlovom bytovom dome v Ružinove,"Astronomická, Bratislava II - Ružinov, okres Bratislava",189 900 €,"3 361,06 €/m²","56,5 m²"
https://www.nehnutelnosti.sk/5320465/moderne-zariadeny-2-izbovy-byt-navrhnuty-dizajnerkou-blizko-blumentalu/,Moderne zariadený 2 izbový byt navrhnutý dizajnérkou blízko Blumentálu,"Wilsonova 1, Bratislava I - Staré Mesto, okres Bratislava",249 900 €,4 900 €/m²,51 m²
https://www.nehnutelnosti.sk/5294136/klimatizovany-3-izbovy-byt-s-krasnym-vyhladom-v-blizkosti-cyklotrasy-na-devin/,Klimatizovaný 3 izbový byt s krásnym výhľadom v blízkosti cyklotrasy na Devín,"Matejkova, Bratislava IV - Karlova Ves, okres Bratislava",181 990 €,"2 882,78 €/m²","63,13 m²"
https://www.nehnutelnosti.sk/5328484/garsonka-s-balkonom-v-tehlovom-bytovom-dome-blizko-novej-cvernovky/,Garsónka s balkónom v tehlovom bytovom dome blízko Novej Cvernovky,"Námestie Biely kríž 6, Bratislava III - Nové Mesto, okres Bratislava",74 900 €,"4 405,88 €/m²",17 m²
https://www.nehnutelnosti.sk/5271383/vynimocny-2-izbovy-byt-s-balkonom-priamo-na-dulovom-namesti/,Výnimočný 2 izbový byt s balkónom priamo na Dulovom námestí,"Dulovo námestie 4, Bratislava I - Staré Mesto, okres Bratislava",259 000 €,"4 163,32 €/m²","62,21 m²"
https://www.nehnutelnosti.sk/5278653/stylovy-2-izbovy-byt-s-terasou-a-vyhladom-na-hrad-v-oblubenom-projekte-pri-myte/,ŠTÝLOVÝ 2-IZBOVÝ BYT S TERASOU A VÝHĽADOM NA HRAD V OBĽÚBENOM PROJEKTE PRI MÝTE,"Račianska, Bratislava III - Nové Mesto, okres Bratislava",349 900 €,"6 691,53 €/m²","52,29 m²"
https://www.nehnutelnosti.sk/5287329/na-predaj-slnecny-priestranny-2-izbovy-byt-s-lodziou-v-novostavbe-iii-veze/,Na predaj slnečný priestranný 2 izbový byt s lodžiou v novostavbe III. Veže,"Bajkalská, Bratislava III - Nové Mesto, okres Bratislava",229 000 €,"3 333,33 €/m²","68,7 m²"
https://www.nehnutelnosti.sk/5136069/novy-3-izbovy-byt-v-komplexe-klingerka/,Nový 3-izbový byt v komplexe KLINGERKA,"Súkennícka, Bratislava II - Ružinov, okres Bratislava",364 000 €,"4 488,29 €/m²","81,1 m²"
https://www.nehnutelnosti.sk/5228607/babony-tre-3-izbovy-byt-s-terasou-a-zahradkou-na-turbinovej-1-v-ba/,Babony TRE | 3 izbový byt s terasou a záhradkou na Turbínovej 1 v BA,"Turbínová, Bratislava III - Nové Mesto, okres Bratislava",257 040 €,3 570 €/m²,72 m²
