link,name,adr,price,price_for_m2,total_area
https://www.reality.sk//byty/na-predaj-pekny-4-iz-byt-bratislava-ruzinov-haburska-ulica-68-m2/JuzuYNohLYA/,NA PREDAJ PEKNÝ 4 IZ.BYT BRATISLAVA RUŽINOV HABURSKÁ ULICA 68 m2, Bratislava-Ružinov  Haburská,249 990 ,3676 €/m², 68 m²
https://www.reality.sk//byty/renatas-1-5-izbovy-byt-nie-apartman-pristavna-plynarenska/JubC6gFaWdh/,"RENATAS - 1,5 IZBOVÝ BYT /NIE APARTMÁN/ PRÍSTAVNÁ - PLYNÁRENSKÁ", Bratislava-Ružinov  Prístavná,215 000 ,4135 €/m², 52 m²
https://www.reality.sk//byty/herrys-na-predaj-2-izbovy-zrekonstruovany-byt-s-pivnicou-v-starom-meste/JuGKiUSMUNR/,Herrys - Na predaj 2 izbový zrekonštruovaný byt s pivnicou v Starom Meste, Bratislava-Staré Mesto  Belopotockého,215 000 ,4080 €/m²," 52,7 m²"
https://www.reality.sk//byty/herrys-na-predaj-uplne-novy-slnecny-3-izbovy-apartman-v-novostavbe-ceresne-parking/JuhgkT7K9MV/,"HERRYS - Na predaj úplne nový slnečný 3 izbový apartmán v novostavbe Čerešne, parking", Bratislava-Dúbravka  Polianky,329 000 ,3374 €/m²," 97,51 m²"
https://www.reality.sk//byty/herrys-na-predaj-slnecny-3-izbovy-byt-s-loggiou-na-ipelskej-ulici-3d-obhliadka/JuOEuO4oj9v/,"HERRYS - Na predaj slnečný 3 izbový byt s loggiou na Ipeľskej ulici, 3D obhliadka", Bratislava-Podunajské Biskupice  Ipeľská,159 000 ,2159 €/m²," 73,63 m²"
https://www.reality.sk//byty/herrys-na-predaj-uplne-novy-4-izbovy-byt-s-dvoma-kupelnami-v-novostavbe-ceresne-parking/JuwjO-BybEZ/,"HERRYS - Na predaj úplne nový 4 izbový byt s dvoma kúpeľňami v novostavbe Čerešne, parking", Bratislava-Dúbravka  Polianky,379 000 ,3635 €/m²," 104,27 m²"
https://www.reality.sk//byty/2-izb-byt-60m2-garaz-povodny-stav-gemerska-ulica-ruzinov-nivy-bratislava/Ju4XhERKje-/,"2-izb.byt,60m2,garáž,pôvodný stav,Gemerská ulica,Ružinov/Nivy-Bratislava.", Bratislava-Ružinov  Gemerská,220 000 ,3667 €/m², 60 m²
https://www.reality.sk//byty/herrys-na-predaj-klimatizovany-3-izbovy-byt-v-novostavbe-novy-ruzinov/Ju0ruoud7TG/,HERRYS – Na predaj klimatizovaný 3 izbový byt v novostavbe Nový Ružinov, Bratislava-Ružinov  Bajkalská,235 000 ,3301 €/m²," 71,2 m²"
https://www.reality.sk//byty/herrys-na-predaj-kompletne-zrekonstruovany-3-izbovy-byt-s-krasnym-vyhladom-na-dubravske-lesy/JuhwvXtXTZu/,HERRYS - Na predaj kompletne zrekonštruovaný 3-izbový byt s krásnym výhľadom na dúbravské lesy, Bratislava-Dúbravka  Karola Adlera,189 900 ,2694 €/m²," 70,5 m²"
https://www.reality.sk//byty/herrys-na-predaj-velkometrazny-2-izbovy-byt-so-samostatnou-kuchynou-na-palisadach-stetinova-ulica/JuemCsrI9kc/,"HERRYS- Na predaj veľkometrážny 2-izbový byt so samostatnou kuchyňou na Palisádach, Štetinová ulica", Bratislava-Staré Mesto  Štetinova,279 900 ,3499 €/m², 80 m²
