link,name,adr,price,price_for_m2,total_area
https://www.topreality.sk/novy-plne-zariadeny-3-izbovy-apartman-magnolia-1-r8449025.html,Nový plne zariadený 3-izbový Apartman- Magnolia 1,"Hraničná,  Bratislava-Ružinov (Bratislava II)",239 900 €,"4 039,40 €/m2",59 m2
https://www.topreality.sk/exkluzivne-na-predaj-2-5-izbovy-byt-na-prerobenie-64-50-m2-ul-j-c-hronskeho-nove-mesto-cena-174-990-r8513536.html,"EXKLUZÍVNE NA PREDAJ: 2,5 IZBOVÝ BYT NA PREROBENIE, 64,50 M2, UL. J.C. HRONSKÉHO - NOVÉ MESTO, CENA: 174.990 €","J. C. Hronského,  Bratislava-Nové Mesto (Bratislava III)",174 990 €,"2 713,02 €/m2",65 m2
https://www.topreality.sk/skolaudovane-septimo-bytysis-r8158110.html,Skolaudované - Septimo Bytysis,"Gogoľova,  Bratislava-Petržalka (Bratislava V)",249 373 €,"3 716,99 €/m2",67 m2
https://www.topreality.sk/topolcianska-byvanie-pri-drazdiaku-r8094229.html,Topoľčianska - bývanie pri Draždiaku,"Topoľčianska,  Bratislava-Petržalka (Bratislava V)",218 472 €,"4 772,21 €/m2",46 m2
https://www.topreality.sk/ponukame-vam-na-predaj-1-izbovy-byt-s-velkou-loggiou-v-jednej-z-najkrajsich-lokalit-m-c-dubravka-ul-sokolikova-r8523809.html,"Ponúkame Vám, na predaj 1-izbový  byt s veľkou LOGGIOU v  jednej z najkrajších lokalít m.č. Dúbravka  ul. Sokolíkova","Sokolíkova,  Bratislava-Dúbravka (Bratislava IV)",109 900 €,"2 817,95 €/m2",39 m2
https://www.topreality.sk/bezkonkurencna-zlava-na-2i-byty-vo-vyske-15-000-r7243989.html,"Bezkonkurenčná zľava na 2i byty vo výške 15.000,- €","Sklabinská,  Bratislava-Rača (Bratislava III)",166 304 €,"3 188,34 €/m2",52 m2
https://www.topreality.sk/predaj-nadstandardne-zrekonstruovaneho-2-izboveho-bytu-ul-topolcianska-bav-petrzalka-r8514749.html,"Predaj nadštandardne zrekonštruovaného 2 izbového bytu, ul. Topoľčianska, BAV - Petržalka","Topoľčianska,  Bratislava-Petržalka (Bratislava V)",144 000 €,"3 682,86 €/m2",39 m2
https://www.topreality.sk/najatraktivnejsia-cena-znizena-o-11-tisic-2-izb-65m2-9m2-loggia-novostavba-koloseo-r8519804.html,NAJATRAKTÍVNEJŠIA CENA ZNÍŽENÁ o 11 TISÍC. 2 izb 65m2 + 9m2 LOGGIA NOVOSTAVBA KOLOSEO,"Tomášikova,  Bratislava-Ružinov (Bratislava II)",218 000 €,"2 961,96 €/m2",74 m2
https://www.topreality.sk/najatraktivnejsia-cena-znizena-o-11-tisic-2-izb-65m2-9m2-loggia-novostavba-koloseo-r8530520.html,NAJATRAKTÍVNEJŠIA CENA ZNÍŽENÁ o 11 TISÍC. 2 izb 65m2 + 9m2 LOGGIA NOVOSTAVBA KOLOSEO,"Tomášikova 12573,  Bratislava-Nové Mesto (Bratislava III)",218 000 €,"3 353,85 €/m2",65 m2
https://www.topreality.sk/nesto-moderny-4-izbovy-byt-s-podlahovym-kurenim-r8259199.html,Nesto | Moderný 4-izbový byt s podlahovým kúrením.,"Pohraničiarska signálka,  Bratislava-Petržalka (Bratislava V)",379 750 €,"3 997,37 €/m2",95 m2
https://www.topreality.sk/3-izbovy-byt-v-starom-meste-na-sancovej-ulici-r8365992.html,3-izbový byt v Starom meste na Šancovej ulici,"Šancová,  Bratislava-Staré Mesto (Bratislava I)",219 000 €,"3 369,23 €/m2",65 m2
