link,name,adr,price,price_for_m2,total_area
https://www.nehnutelnosti.sk/5296472/lukrativny-3-izbovy-byt-v-historickom-mestskom-dome-v-starom-meste-s-vlastnou-garazou-a-atelierom/,LUKRATÍVNY 3-IZBOVÝ BYT V HISTORICKOM MESTSKOM DOME V STAROM MESTE S VLASTNOU GARÁŽOU A ATELIÉROM,čajkovskéhostarémesto,499000.0,4347.45,114.78
https://www.nehnutelnosti.sk/5311032/babony-tre-na-predaj-krasny-3-izbovy-byt-v-ruzinove-ostredky/,Babony TRE | Na predaj krásny 3 izbový byt v Ružinove - Ostredky,ostredkováružinov,239900.0,3869.35,62.0
https://www.nehnutelnosti.sk/5292712/predaj-byt-2-1-bratislava-dubravka-52-5m/,"PREDAJ - BYT 2+1, BRATISLAVA - DÚBRAVKA, 52,5M²",kpt.rašudúbravka,175000.0,3333.33,52.5
https://www.nehnutelnosti.sk/5259524/predaj-3-izbovy-byt-67-58-m-sustekova-bratislava-petrzalka/,"PREDAJ: 3 IZBOVÝ BYT, 67,58 m², ŠUSTEKOVA, Bratislava - Petržalka",šustekovapetržalka,200000.0,2959.46,67.58
https://www.nehnutelnosti.sk/5218896/prijemne-rodinne-byvanie-v-4-izb-byte-v-podunajskych-biskupiciach/,Príjemné rodinné bývanie v 4 izb. byte v Podunajských Biskupiciach.,bodrockápodunajskébiskupice,172000.0,2293.33,75.0
https://www.nehnutelnosti.sk/5324327/luxusny-3i-byt-75m2-s-vlastnou-zahradou-a-parkingom-v-rodinnom-dome-v-tichej-lokalite-na-zaciatku/,Luxusný 3i. byt 75m2 s vlastnou ZÁHRADOU a parkingom  v rodinnom dome v tichej lokalite na začiatku,uhliskávajnory,360000.0,4800.0,75.0
https://www.nehnutelnosti.sk/5335423/velky-byt-tehla-krasnany-2-iz-kadnarova-ul-raca-ba-iii-204-000-www-blreality-com/,"VEĽKÝ BYT - tehla – KRASŇANY: 2 iz., Kadnárova ul., Rača, Ba III., 204 000,-€ - www.BLREALITY.COM",kadnárovarača,204000.0,3400.0,60.0
https://www.nehnutelnosti.sk/5224374/renatas-predaj-2izb-po-kompletnej-rekonstrukcii/,RENATAS - PREDAJ 2IZB. PO KOMPLETNEJ REKONŠTRUKCII,vajnorskánovémesto,154000.0,4052.63,38.0
https://www.nehnutelnosti.sk/5314421/renatas-2izbovy-byt-timravina-hradny-kopec/,RENATAS - 2IZBOVÝ BYT TIMRAVINA - HRADNÝ KOPEC,timravinastarémesto,319000.0,6380.0,50.0
https://www.nehnutelnosti.sk/5341698/na-predaj-2-izbovy-byt-s-prijemnym-vyhladom-do-vnutrobloku/,Na predaj 2 izbový byt s príjemným výhľadom do vnútrobloku,opletalovadevínskanováves,173000.0,2544.12,68.0
https://www.nehnutelnosti.sk/5236275/nova-cena-zlava-15-000-ba-petrzalka-sustekova-ul-krasny-novo-zrekonstruovany-3i-byt-s-no/,"NOVÁ CENA: ZĽAVA 15.000€ - BA Petržalka - Šustekova ul. - krásny, novo - zrekonštruovaný 3i byt s no",šustekovapetržalka,234990.0,2937.38,80.0
https://www.nehnutelnosti.sk/5227350/ba-v-topolcianska-kompletne-zrekonstruovany-3i-byt-s-kuchynou-a-klimatizaciou-86-m2-2x-loggia/,"BA V - Topoľčianska, kompletne zrekonštruovaný 3i byt s kuchyňou a klimatizáciou, 86 m2, 2x loggia",topoľčianskapetržalka,229990.0,2674.3,86.0
