link,name,adr,price,price_for_m2,total_area
https://www.topreality.sk/1-izbovy-apartman-s-terasou-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8422244.html,"1-izbový apartmán s terasou v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,188162.0,5099.252,37.0
https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8284285.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,svätoplukovaružinov,252749.0,6868.172,37.0
https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8284286.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,svätoplukovaružinov,248467.0,6751.832,37.0
https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8434664.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,svätoplukovaružinov,235664.0,6403.922,37.0
https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8431249.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,204772.0,4958.162,41.0
https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8431245.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,203245.0,4921.192,41.0
https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8430392.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,198246.0,4800.152,41.0
https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8431242.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,201712.0,4884.072,41.0
https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8430384.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,212438.0,5143.782,41.0
https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8430385.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,209895.0,5082.212,41.0
https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8422246.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,166639.0,4515.972,37.0
https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8422264.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,177043.0,4797.922,37.0
https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8386464.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,132827.0,4710.172,28.0
https://www.topreality.sk/1-izbovy-apartman-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8386458.html,"1-izbový apartmán v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,132182.0,4687.322,28.0
