adr,price
29.augustastarémesto,425000.0
a.gwerkovej1538/11petržalka,250000.0
a.gwerkovejpetržalka,222450.0
a.hlinkuružinov,259000.0
adámihokarlovaves,160818.18181818182
agátovádúbravka,175100.0
albrechtovaružinov,225000.0
albrechtováružinov,209900.0
alstrova8109/4rača,339900.0
alstrovarača,390500.0
alžbetygwerkovejpetržalka,227720.0
andreamrázaružinov,217000.0
andrejamrázaružinov,192508.33333333334
andrusovova910/3petržalka,207900.0
andrusovovapetržalka,184150.0
antolskápetržalka,98000.0
aragonitovájarovce,146950.0
arménskavrakuňa,285000.0
astronomickáružinov,196133.33333333334
astrová54ružinov,179990.0
astrováružinov,228665.0
babuškovaružinov,229995.0
bagarovadúbravka,182753.0
bajakalskáružinov,189012.0
bajkalská12985/9novémesto,259000.0
bajkalská18831/45gružinov,124900.0
bajkalská41ružinov,83900.0
bajkalská9aružinov,265000.0
bajkalskánovémesto,294525.0
bajkalskáružinov,219103.97435897434
bajzovaružinov,279000.0
bakošovalamač,191982.7142857143
bakošoválamač,249000.0
baltská11868/21podunajskébiskupice,149000.0
baltská23podunajskébiskupice,165000.0
baltskápodunajskébiskupice,148000.0
banšelovaružinov,170271.7142857143
bartoškovanovémesto,164450.0
bartókovastarémesto,306198.5714285714
barónka3rača,198280.0
bazovského8dúbravka,169999.0
bazovskéhodúbravka,202417.44444444444
bazováružinov,378228.5714285714
bebravskávrakuňa,166200.0
belehradskánovémesto,269900.0
belinskéhopetržalka,207000.0
belopotockéhostarémesto,331000.0
beniakovakarlovaves,195000.0
bernolákovastarémesto,570000.0
betliarskapetržalka,156063.33333333334
bezručová5starémesto,350880.0
beňadickápetržalka,146327.14285714287
beňovskéhodúbravka,145950.0
bielastarémesto,299000.0
bieloruská5210/7podunajskébiskupice,107000.0
bieloruskápodunajskébiskupice,116111.22222222222
bieloruskávrakuňa,97000.0
björnsonovastarémesto,289900.0
blagoevovapetržalka,158543.0
blumentálskastarémesto,396000.0
bodrockápodunajskébiskupice,151781.66666666666
bohrovapetržalka,202966.66666666666
borinskálamač,184000.0
borydevínskanováves,266995.0
bosákova3982/3petržalka,320000.0
bosákovapetržalka,317666.6666666667
bottovastarémesto,391685.0
bošánihodúbravka,226966.66666666666
brančskápetržalka,210000.0
bratislavanovémesto,211000.0
bratislavaružinov,179990.0
brnianskastarémesto,224500.0
budatinskápetržalka,222995.0
budatínskapetržalka,186362.5
budovateľská1090/1ružinov,555000.0
budovateľskáružinov,276998.5714285714
budyšínskanovémesto,182500.0
bujnákovadúbravka,144500.0
bullovadúbravka,197450.0
bučinová10vrakuňa,142900.0
bučinovávrakuňa,134463.33333333334
bystrickadevínskanováves,159900.0
bystrická7342/35devínskanováves,188995.0
bystrickádevínskanováves,203495.0
bzovíckapetržalka,248883.5
bárdošovanovémesto,221300.0
béžová8petržalka,126000.0
béžovápetržalka,125495.0
béžováulicapetržalka,126000.0
búdkovástarémesto,658433.3333333334
cabanova2172/23dúbravka,205000.0
cabanova2192/34dúbravka,259900.0
cabanova37dúbravka,129000.0
cabanovadúbravka,179633.33333333334
chalupkovastarémesto,404162.5
chorvátskygrobvajnory,206267.0
cintorínskastarémesto,228450.0
cyprichova68rača,299000.0
cyprichovanovémesto,170000.0
cyprichovarača,194966.33333333334
cyrilova491/7ružinov,289000.0
cyrilovaružinov,219000.0
cígeľskárača,1.0
dankovskéhostarémesto,162000.0
devínskacestadevín,385000.0
devínskacestakarlovaves,139900.0
devínskanováves,259898.86956521738
devínskanovávesdevínskanováves,236000.0
dlhédielyiii.karlovaves,322600.0
dlhédielykarlovaves,169900.0
dobrovičovastarémesto,479990.0
dobrovskéhostarémesto,248000.0
dobšinskéhostarémesto,299000.0
dohnánihoružinov,220000.0
dohnányhoružinov,398000.0
doležalovaružinov,191666.66666666666
domašskávrakuňa,249000.0
domkárskaružinov,184000.0
dopravnárača,157065.0
drieňová71/11ružinov,276000.0
drieňováružinov,280200.0
drobného1903/20dúbravka,119000.0
drobnéhodúbravka,155500.0
drotárskacestastarémesto,431666.86666666664
