adr,count
hraničnáružinov,119
záhorskábystrica,85
ružinov,81
petržalka,62
starémesto,54
kopčianskapetržalka,46
gunduličovastarémesto,46
trnavskácestaružinov,44
mlynskénivyružinov,43
novémesto,42
bajkalskáružinov,39
ivanskácestaružinov,35
prístavná1ružinov,34
prístavnáružinov,33
vrakuňa,32
račianskanovémesto,31
fialovápetržalka,28
ulicasvornostipodunajskébiskupice,28
námestie1.májastarémesto,27
dúbravka,26
znievskapetržalka,25
vajnorskánovémesto,24
rybničnávajnory,23
devínskanováves,23
kazanskápodunajskébiskupice,21
svätoplukovaružinov,21
rača,21
šustekovapetržalka,19
mýtnastarémesto,18
palisádystarémesto,18
nejedléhodúbravka,17
karlovaves,17
stavbárskavrakuňa,16
svrčiakarlovaves,16
budatínskapetržalka,16
topoľčianskapetržalka,16
romanovapetržalka,16
pribinovastarémesto,16
mierováružinov,15
vlčiehrdloružinov,15
povrazníckastarémesto,15
drobnéhodúbravka,15
kadnárovarača,15
tomášikovanovémesto,15
drotárskacestastarémesto,15
martinagrancadúbravka,14
hanulovadúbravka,14
úderníckapetržalka,14
beňadickápetržalka,14
námestiehraničiarovpetržalka,14
privápenickompotokuzáhorskábystrica,14
bajkalskánovémesto,14
podunajskébiskupice,13
opletalovadevínskanováves,13
holíčskapetržalka,13
rezedováružinov,13
zuzanychalupovejpetržalka,13
tomášikovaružinov,13
podunajskápodunajskébiskupice,13
poliankydúbravka,13
ľudovítafullukarlovaves,13
vlčkovastarémesto,13
turbínovánovémesto,13
martinčekovaružinov,13
ondavskáružinov,12
hrachováružinov,12
tranovskéhodúbravka,12
tupéhonovémesto,12
riazanskánovémesto,12
prístavnástarémesto,12
andrejamrázaružinov,12
haburskáružinov,12
podzáhradnápodunajskébiskupice,12
šancovástarémesto,12
jégéhoružinov,12
mickiewiczovastarémesto,11
partizánskastarémesto,11
závodnápodunajskébiskupice,11
sklabinskárača,11
adámihokarlovaves,11
osuskéhopetržalka,11
jantárovájarovce,11
gessayovapetržalka,11
dunajskástarémesto,11
solivarskáružinov,11
studenohorskálamač,11
rožňavskánovémesto,10
žltápetržalka,10
medenástarémesto,10
komárnickáružinov,10
jasovskápetržalka,10
naštyridsiatkustarémesto,10
rustavelihorača,10
obchodnástarémesto,10
šalviováružinov,10
sibírskanovémesto,10
slávičieúdoliestarémesto,10
kresánkovakarlovaves,10
žilinskástarémesto,10
československýchparašutistovnovémesto,10
exnárovaružinov,10
mudroňovastarémesto,9
rajeckávrakuňa,9
kríkovávrakuňa,9
teslovaružinov,9
nobelovanovémesto,9
bazovskéhodúbravka,9
jurigovonámestiekarlovaves,9
medveďovejpetržalka,9
okánikovastarémesto,9
záhradníckaružinov,9
strečnianskapetržalka,9
púpavovákarlovaves,9
nemčíkovadúbravka,9
krásnohorskápetržalka,9
galvanihoružinov,9
hradskávrakuňa,9
píniovávrakuňa,9
bieloruskápodunajskébiskupice,9
starégruntykarlovaves,9
krížnastarémesto,9
agátovádúbravka,9
fedákovadúbravka,9
narcisováružinov,8
miletičovaružinov,8
rovniankovapetržalka,8
podpriehradnávrakuňa,8
švabinskéhopetržalka,8
prihrubejlúkedúbravka,8
