link,name,adr,price,price_for_m2,total_area
https://www.reality.sk//byty/herrys-na-predaj-vynimocny-3-izbovy-byt-vo-vynimocnej-lokalite-pod-bratislavskym-hradom/JubllC6dKdl/,HERRYS - Na predaj výnimočný 3-izbový byt vo výnimočnej lokalite pod Bratislavským hradom,palisádystarémesto,449000.0,4253.0,105.57
https://www.reality.sk//byty/herrys-na-predaj-2-izbovy-byt-s-balkonom-v-nedavno-skolaudovanej-novostavbe-ceresne/Ju6I9-aZKoF/,HERRYS - Na predaj 2 izbový byt s balkónom v nedávno skolaudovanej novostavbe Čerešne,poliankydúbravka,175000.0,3616.0,48.4
https://www.reality.sk//byty/herrys-na-predaj-3-izbovy-byt-v-projekte-gastanova-rezidencia-horsky-park/Juel0h4-TFF/,HERRYS - Na predaj 3-izbový byt v projekte Gaštanová/Rezidencia Horský park,gaštanovástarémesto,380000.0,5307.0,71.6
https://www.reality.sk//byty/herrys-na-predaj-klimatizovany-3-izbovy-byt-v-novostavbe-novy-ruzinov/Ju0ruoud7TG/,HERRYS – Na predaj klimatizovaný 3 izbový byt v novostavbe Nový Ružinov,bajkalskáružinov,235000.0,3301.0,71.2
https://www.reality.sk//byty/na-predaj-uplne-novy-2-izbovy-apartman-s-balkonom-v-novostavbe-galvaniho-dvory/JuXB4D43puY/,Na predaj úplne nový 2 izbový apartmán s balkónom v novostavbe Galvaniho Dvory,galvanihoružinov,162400.0,3274.0,49.61
https://www.reality.sk//byty/na-predaj-uplne-novy-3-izbovy-byt-v-novostavbe-ovocne-sady-ruzinov/JuMCwz7OHeK/,"Na  predaj úplne nový 3-izbový byt v novostavbe Ovocné Sady, Ružinov.",ivanskácestaružinov,205000.0,3144.0,65.2
https://www.reality.sk//byty/na-predaj-kompletne-zrekonstruovany-2-izb-byt-na-ulici-kapt-jana-rasu/JuQlx3sFk-O/,"Na predaj kompletne zrekonštruovaný 2 izb, byt na ulici Kapt.Jána Rašu",jánarašudúbravka,149900.0,2939.0,51.0
https://www.reality.sk//byty/2izbovy-byt-s-moznostou-prerobenia-na-3izbovy-navrh-interieru-v-cene-vyborna-lokalita/Ju2LyZRZ_O9/,"2izbový byt s možnosťou prerobenia na 3izbový, návrh interiéru v cene, výborná lokalita,",cyprichovanovémesto,170000.0,2845.0,59.76
https://www.reality.sk//byty/occam-3-izbovy-byt-v-starom-meste-na-sancovej-ulici/JuCrJUAiU2e/,OCCAM | 3-izbový byt v Starom meste na Šancovej ulici,šancovástarémesto,219000.0,3369.0,65.0
https://www.reality.sk//byty/skvely-slnecny-3i-byt-115-m2-loggia-12-m2-2-x-parking-river-park/Ju9mH8YULUq/,"Skvelý slnečný 3i byt, 115 m2, loggia 12 m2, 2 x parking, River Park",dvořákovonábrežiestarémesto,850000.0,7391.0,115.0
https://www.reality.sk//byty/verdena-uzivajte-si-aktivny-oddych-na-skok-od-vasho-domova/JuyPlB8Ey7e/,Verdena - užívajte si aktívny oddych na skok od vášho domova!,vrbenskéhorača,328080.0,4075.0,80.51
https://www.reality.sk//byty/kompletne-zrekonstruovany-2-izb-byt-zavodna-ulica-podunajske-biskupice/Ju7NWSb-zzN/,"KOMPLETNE ZREKONŠTRUOVANÝ 2 IZB. BYT - ZÁVODNÁ ULICA,PODUNAJSKÉ BISKUPICE",závodnápodunajskébiskupice,110000.0,3138.0,35.05
