,link,name,adr,price,price_for_m2,total_area
869,https://www.nehnutelnosti.sk/5182458/1-izbovy-apartman-s-vynimocnym-vyhladom-rezidencia-zilinska/,1 izbový apartmán s výnimočným výhľadom - Rezidencia Žilinská,žilinskástarémesto,201957.0,7734.85,26
7855,https://www.topreality.sk/1-izbovy-apartman-s-vynimocnym-vyhladom-rezidencia-zilinska-r8376567.html,1 izbový apartmán s výnimočným výhľadom - Rezidencia Žilinská,žilinskástarémesto,203032.0,7776.022,26
4480,https://www.reality.sk//byty/1-izbovy-apartman-s-vynimocnym-vyhladom-rezidencia-zilinska/Ju-54xBkk1v/,1 izbový apartmán s výnimočným výhľadom - Rezidencia Žilinská,žilinskástarémesto,201957.0,7735.0,26
2670,https://www.nehnutelnosti.sk/5191526/1-izbovy-apartman-s-terasou-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/,"1-izbový apartmán s terasou v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,188162.4,5099.25,37
6894,https://www.reality.sk//byty/1-izbovy-apartman-s-terasou-v-novostavbe-na-ulici-mlynske-nivy-ruzinov/Juft-unN3y5/,"1-izbový apartmán s terasou v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,1881624.0,5099.0,37
10834,https://www.topreality.sk/1-izbovy-apartman-s-terasou-v-novostavbe-na-ulici-mlynske-nivy-ruzinov-r8422244.html,"1-izbový apartmán s terasou v novostavbe na ulici Mlynské Nivy, Ružinov",hraničnáružinov,188162.0,5099.252,37
2685,https://www.nehnutelnosti.sk/4996476/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur/,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,209895.41,5082.21,41
10922,https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8431245.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,203245.0,4921.192,41
2719,https://www.nehnutelnosti.sk/4997328/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur/,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,198246.21,4800.15,41
10925,https://www.topreality.sk/1-izbovy-apartman-v-ruzinove-bonus-na-zariadenie-apartmanu-10-000-eur-r8430392.html,1-izbový apartmán v Ružinove   BONUS na zariadenie apartmánu 10 000 EUR,mlynskénivyružinov,198246.0,4800.152,41
