link,name,adr,price,price_for_m2,total_area
https://www.topreality.sk/luxusny-5-izbovy-penthouse-s-priestrannou-terasou-r8538389.html,Luxusný 5 izbový penthouse s priestrannou terasou,martinagrancadúbravka,1060000.0,5792.352,183.0
https://www.topreality.sk/byvajte-moderne-v-nadhernom-3-izbovom-byte-v-slnecniciach-s-1-loggiou-a-2-balkonmi-r8514830.html,Bývajte moderne v nádhernom 3 izbovom byte v Slnečniciach s 1 loggiou a 2 balkónmi.,zuzanychalupovejpetržalka,295000.0,3161.172,93.0
https://www.topreality.sk/predaj-2-izboveho-bytu-v-tichom-vnutrobloku-stare-mesto-povraznicka-r8530133.html,"Predaj 2 izbového bytu v tichom vnútrobloku, Staré Mesto, Povraznícka",povrazníckastarémesto,212000.0,3212.122,66.0
https://www.topreality.sk/penthousovy-3-izbovy-byt-v-starom-meste-parkovacie-miesto-a-kobka-v-cene-r8513052.html,"Penthousový 3 izbový byt v Starom meste, parkovacie miesto a kobka v cene",ľadovástarémesto,569000.0,3349.422,170.0
https://www.topreality.sk/3-izbovy-novostavba-ruzinov-vo-vystavbe-r8225167.html,"3 izbový, novostavba, Ružinov VO VÝSTAVBE",ružovádolina33ružinov,329000.0,3386.172,97.0
https://www.topreality.sk/zelene-zaluhy-1-izb-byt-s-predzahradkou-a-terasou-a206-r8334322.html,Zelené Záluhy | 1-izb. byt s predzáhradkou a terasou A206,hanulovadúbravka,201500.0,5713.072,35.0
https://www.topreality.sk/byvanie-v-tichom-prostredi-ruzinova-r8556709.html,Bývanie v tichom prostredí Ružinova,starézáhradyružinov,118000.0,3806.452,31.0
https://www.topreality.sk/3-izbovy-byt-v-tichej-lokalite-dubravky-r8476788.html,3-izbový byt v tichej lokalite Dúbravky,bazovskéhodúbravka,185000.0,2312.502,80.0
https://www.topreality.sk/slnecnice-uniq-2-izb-byt-predzahradka-klima-ext-zaluzie-gar-statie-murovana-kobka-r8426315.html,"Slnečnice, UNIQ 2 izb. byt, predzáhradka, klíma, ext. žalúzie, gar. státie, murovaná kobka",fialovápetržalka,215833.0,2555.752,84.0
https://www.topreality.sk/svetly-2-izbovy-byt-po-kompletnej-rekonstrukcii-v-centre-mesta-r8495516.html,Svetlý 2 izbový byt po kompletnej rekonštrukcii v centre mesta,špitálskastarémesto,242797.0,4609.942,53.0
https://www.topreality.sk/svetly-2-izbovy-byt-po-kompletnej-rekonstrukcii-v-centre-mesta-r8496647.html,Svetlý 2 izbový byt po kompletnej rekonštrukcii v centre mesta,špitálskastarémesto,224659.0,4438.212,51.0
https://www.topreality.sk/exkluzivny-2-izbovy-byt-po-kompletnej-rekonstrukcii-v-centre-mesta-r8494199.html,Exkluzívny 2 izbový byt po kompletnej rekonštrukcii v centre mesta,špitálskastarémesto,270636.0,5190.062,52.0
https://www.topreality.sk/herrys-na-predaj-krasny-3-izbovy-byt-po-kompletnej-rekonstrukcii-v-lokalite-500-bytov-nivy-r8546325.html,HERRYS - Na predaj krásny 3 izbový byt po kompletnej rekonštrukcii v lokalite 500 bytov - Nivy,budovateľskáružinov,285000.0,4461.492,64.0
https://www.topreality.sk/herrys-na-predaj-priestranny-1-izbovy-byt-s-balkonom-v-novostavbe-garazove-statie-r8541770.html,"HERRYS - Na predaj priestranný 1 izbový byt s balkónom v novostavbe, garážové státie",račianskanovémesto,170000.0,3563.942,48.0
https://www.topreality.sk/herrys-na-predaj-priestranny-2-izbovy-byt-s-velkym-balkonom-a-garazovym-statim-na-kolibe-jedenasta-r8539167.html,HERRYS- Na predaj priestranný 2 izbový byt s veľkým balkónom a garážovým státím na Kolibe -Jedenásta,jedenástanovémesto,289900.0,3901.222,74.0
https://www.topreality.sk/herrys-na-predaj-slnecny-2-izbovy-byt-s-parkovanim-v-projekte-novostavby-tarjanne-priamo-pod-lesom-r8538339.html,HERRYS - Na predaj slnečný 2 izbový byt s parkovaním v projekte novostavby Tarjanne priamo pod lesom,martinagrancadúbravka,225000.0,3873.972,58.0
https://www.topreality.sk/herrys-na-predaj-utulny-2-izbovy-byt-v-projekte-papaver-r8533944.html,HERRYS - Na predaj útulný 2 izbový byt v projekte Papaver,vlčiehrdloružinov,115900.0,3621.882,32.0
https://www.topreality.sk/herrys-na-predaj-kompletne-zrekonstruovany-3-izbovy-byt-s-krasnym-vyhladom-na-dubravske-lesy-r8507048.html,HERRYS - Na predaj kompletne zrekonštruovaný 3-izbový byt s krásnym výhľadom na dúbravské lesy,karolaadleradúbravka,189900.0,2693.622,71.0
